Titolo corso,Percorso identitario,tipologia corso / seminario,Periodo (1 o 2 semestre),Anno di corso,N. ore,Ente
Introduzione alla sintassi delle lingue naturali,MCL,Corso,1,1,25,IUSS
Elementi di filosofia: linguaggio ragionamento conoscenza,MCL,Corso,2,1,25,IUSS
Ripensare i sistemi alimentari: un percorso filosofico fra clima identità e digitale,CPS,Seminario,2,1,10,Università di Milano
Linguistica in laboratorio tra intelligenza artificiale e cervello umano (ENG),MCL,Corso,1,2,25,IUSS
Introduzione alla linguistica storica (ENG),MCL,Corso,2,2,25,IUSS
Il sé e il non-sé. Un percorso nella filosofia indo-buddhista (ENG),CPS,Corso,1,2,25,IUSS
Filosofia della tecnologia: un viaggio al confine tra naturale e artificiale (ENG),MCL,Corso,2,2,25,IUSS
Le sfide epistemologiche delle nuove tecnologie,CPS,"Did. Integr.Filosofia della mente",2,2,8,IUSS
Filosofia della scienza: teorie modelli e realtà,CPS,Corso,1,2,25,Università di Milano
Raccontare l'Antropocene. Letteratura e ambiente tra XX e XXI secolo.,CSR,Corso,2,2,25,Università di Pavia
Macchine parlanti: spiegazioni linguistiche e complessità (ENG),CPS,Corso,1,3,25,IUSS
Epistemologia e filosofia del rischio (ENG),CSR,Corso,1,3,25,IUSS
Visualizzazione dimostrazioni e rigore: temi di filosofia della pratica matematica (ENG),CPS,Corso,2,3,25,IUSS
Conoscenza senza esperienza: i problemi dell'a priori . (ENG),CPS,Did. Integr.,2,3,8,IUSS
"L'archeologia a teatro. Da Goldoni e Mozart a D'Annunzio e Strauss: mettere in scena l'antico (e chi lo colleziona e studia)",CPS,Corso,1,3,25,Università di Pavia
Ricezione moderna e contemporanea dei classici,MCL,Corso,2,3,25,Università di Pavia
Il sogno di Cartesio: il cervello e le lingue impossibili (invito alla linguistica) (ENG),MCL,Corso,1,4,25,IUSS
Definire contare misurare: filosofia e fondamenti della matematica (ENG),CPS,Corso,1,4,25,IUSS
What is logic? (ENG),CPS,Did. Integr. Sereni,1,4,8,IUSS
Leggere la città: storia artistica di Pavia,CPS,Corso,2,4,25,Università di Pavia
La filosofia dell'oceano: rappresentazioni dell'oceano e ingegneria concettuale,CSR,Seminario,1,4,10,Institut Jean Nicod- Parigi
Fondamenti di neurolinguistica e neuropragmatica e basi metodologiche (ENG),MCL,Corso,2,5,25,IUSS
Laboratorio di elettrofisiologia del linguaggio (ENG),MCL,Did. Integr.,2,5,8,IUSS
Dentro lo scavo: dalla ricerca alla documentazione e al parco archeologico,CPS,Corso,2,5,25,Università di Pisa
Il Policy Advice tra filosofia e decisioni pubbliche,CPS,Seminario,1,A tutti,4,IUSS/SNA
